AccX,AccY,AccZ,MagX,MagY,MagZ,wX,wY,wZ,oX,oY,oZ,time,dt
2.88,8.71,3.86,-28.5625,-38.5,-2.1875,10.8125,13.75,4.375,-17557062236.75033,-22326899954.248978,-7104013621.806493,0.10446548461914062,-1623774542.1271985
2.99,8.4,3.87,-28.5625,-37.5,-1.6875,9.375,16.4375,2.9375,-17557062235.780014,-22326899952.547688,-7104013621.50246,0.20796608924865723,0.1035006046295166
2.35,8.61,3.61,-29.0,-39.6875,-2.1875,11.6875,11.375,3.875,-17557062234.652752,-22326899951.45057,-7104013621.1287155,0.3044161796569824,0.0964500904083252
2.69,8.74,3.46,-28.5625,-37.5,-1.6875,-7.9375,-0.5625,0.8125,-17557062235.475224,-22326899951.508854,-7104013621.044525,0.4080348014831543,0.10361862182617188
2.56,8.65,3.71,-29.75,-37.75,-2.5,-6.3125,-4.0,1.6875,-17557062236.090645,-22326899951.898827,-7104013620.880006,0.5055274963378906,0.09749269485473633
2.71,8.31,3.98,-29.375,-38.1875,-2.5,-1.1875,0.3125,0.4375,-17557062236.209576,-22326899951.867527,-7104013620.836188,0.6056809425354004,0.10015344619750977
2.63,8.69,3.87,-29.375,-39.0,-3.25,0.8125,-0.5,0.875,-17557062236.12771,-22326899951.917908,-7104013620.748022,0.7064418792724609,0.10076093673706055
2.88,8.46,3.85,-29.75,-38.5625,-2.375,0.5,2.4375,-0.375,-17557062236.076595,-22326899951.668736,-7104013620.786356,0.8086657524108887,0.10222387313842773
2.4,8.66,3.94,-29.0,-39.0,-1.6875,-0.125,2.375,0.125,-17557062236.08901,-22326899951.432915,-7104013620.773945,0.9079580307006836,0.09929227828979492
2.59,8.32,3.49,-28.25,-39.0,-3.375,-1.875,-0.375,-0.0625,-17557062236.279644,-22326899951.471043,-7104013620.780299,1.0096311569213867,0.10167312622070312
2.8,8.69,3.77,-29.0,-37.75,-2.5,-2.4375,7.4375,0.0625,-17557062236.52291,-22326899950.728764,-7104013620.774061,1.1094331741333008,0.09980201721191406
2.52,8.6,3.98,-30.0625,-38.5625,-3.75,-0.9375,3.625,1.375,-17557062236.61661,-22326899950.366463,-7104013620.636636,1.209378719329834,0.0999455451965332
2.81,8.47,3.77,-30.0625,-37.75,-3.25,2.125,0.75,-0.6875,-17557062236.40903,-22326899950.293198,-7104013620.703794,1.307063102722168,0.09768438339233398
2.53,8.68,3.93,-29.75,-37.75,-3.75,-0.625,4.25,-0.875,-17557062236.4704,-22326899949.875866,-7104013620.789715,1.405259132385254,0.09819602966308594
2.53,8.52,3.83,-29.75,-38.1875,-2.875,-0.375,1.0625,0.75,-17557062236.50978,-22326899949.764294,-7104013620.7109585,1.510267734527588,0.10500860214233398
2.48,8.51,4.06,-29.0,-38.1875,-4.1875,1.875,1.125,0.875,-17557062236.33121,-22326899949.657154,-7104013620.627626,1.6055045127868652,0.09523677825927734
2.58,8.64,3.93,-29.75,-37.75,-3.375,-0.75,-0.1875,-0.75,-17557062236.40969,-22326899949.676773,-7104013620.706104,1.710141897201538,0.10463738441467285
2.57,8.44,4.02,-29.0,-39.25,-3.75,-0.375,-2.125,-0.9375,-17557062236.44544,-22326899949.87935,-7104013620.795476,1.805471420288086,0.09532952308654785
2.49,8.53,3.9,-29.375,-38.5625,-3.25,0.125,-1.25,-0.6875,-17557062236.432343,-22326899950.01031,-7104013620.867504,1.9102401733398438,0.10476875305175781
2.57,8.51,3.89,-28.5625,-38.1875,-4.1875,-0.0625,-2.0625,-0.5,-17557062236.43834,-22326899950.20821,-7104013620.91548,2.006190776824951,0.09595060348510742
2.52,8.5,3.8,-30.0625,-37.75,-4.1875,1.25,0.0625,0.1875,-17557062236.308002,-22326899950.201694,-7104013620.895929,2.1104612350463867,0.10427045822143555
2.49,8.57,4.04,-29.0,-37.5,-3.25,-1.9375,0.0625,-0.0625,-17557062236.492092,-22326899950.195755,-7104013620.901868,2.205474853515625,0.09501361846923828
2.5,8.54,3.92,-29.375,-38.5625,-4.0625,0.3125,-0.6875,0.0,-17557062236.45938,-22326899950.267723,-7104013620.901868,2.3101532459259033,0.10467839241027832
2.54,8.59,3.95,-29.375,-38.1875,-4.0625,-3.375,2.625,0.0,-17557062236.780293,-22326899950.018124,-7104013620.901868,2.405238389968872,0.09508514404296875
2.36,8.47,4.29,-29.375,-39.25,-4.875,-1.75,1.1875,2.0625,-17557062236.96402,-22326899949.89345,-7104013620.68533,2.510226249694824,0.10498785972595215
